id,location,date,avg_volume,status
130,Downtown,2023-01-13,436.143,High
131,Main St,2023-01-27,411.0,High
132,Highway 101,2023-01-09,559.0,High
133,Downtown,2025-06-18,266.944,Normal
134,Highway 101,2023-01-02,370.833,High
135,Highway 101,2023-01-21,462.5,High
136,Highway 101,2023-01-27,568.286,High
137,Main St,2023-01-02,399.2,High
138,Downtown,2023-01-02,439.429,High
139,University Blvd,2025-06-17,196.0,Normal
140,Bridge,2023-01-14,318.667,High
141,Main St,2023-01-26,489.8,High
142,Bridge,2023-01-27,451.714,High
143,Airport Road,2023-01-05,406.818,High
144,Airport Road,2023-01-02,366.636,High
145,Downtown,2023-01-05,359.625,High
146,Bridge,2023-01-30,336.667,High
147,Bridge,2023-01-02,527.364,High
148,Highway 101,2023-01-20,475.833,High
149,Downtown,2023-01-28,399.4,High
150,Main St,2023-01-14,392.875,High
151,Bridge,2023-01-13,326.0,High
152,Downtown,2023-01-01,344.571,High
153,Airport Road,2023-01-06,621.143,High
154,Airport Road,2023-01-30,316.375,High
155,Highway 101,2023-01-30,542.875,High
156,Airport Road,2023-01-18,502.5,High
157,Downtown,2023-01-11,285.0,Normal
158,Main St,2023-01-01,558.1,High
159,Downtown,2023-01-27,499.846,High
160,Main St,2023-01-30,564.667,High
161,Bridge,2023-01-04,368.462,High
162,Bridge,2023-01-07,536.0,High
163,Bridge,2023-01-06,394.222,High
164,Bridge,2023-01-09,444.857,High
165,Highway 101,2023-01-24,395.857,High
166,Bridge,2023-01-22,394.6,High
167,Main St,2023-01-29,575.8,High
168,Downtown,2023-01-24,426.0,High
169,Bridge,2023-01-23,502.8,High
170,Highway 101,2023-01-19,567.167,High
171,Highway 101,2023-01-04,387.167,High
172,Bridge,2023-01-08,432.857,High
173,Airport Road,2023-01-25,448.833,High
174,Downtown,2023-01-25,496.25,High
175,Airport Road,2023-02-13,711.0,High
176,Bridge,2023-06-18,80.0,Normal
177,Bridge,2023-04-29,86.0,Normal
178,Downtown,2023-01-12,503.4,High
179,Airport Road,2023-04-17,539.5,High
180,Downtown,2023-04-29,394.5,High
181,Main St,2023-01-10,470.0,High
182,Downtown,2023-04-11,580.0,High
183,Bridge,2023-02-08,717.0,High
184,Bridge,2023-02-27,288.0,Normal
185,Downtown,2023-04-16,186.0,Normal
186,Main St,2023-05-11,486.0,High
187,Downtown,2023-01-07,468.286,High
188,Highway 101,2023-04-18,735.0,High
189,Main St,2023-06-25,219.0,Normal
190,Highway 101,2023-05-02,726.0,High
191,Highway 101,2023-01-11,352.2,High
192,Bridge,2023-01-25,428.5,High
193,Airport Road,2023-02-14,406.75,High
194,Downtown,2023-01-22,239.143,Normal
195,Airport Road,2023-04-13,81.0,Normal
196,Bridge,2023-02-23,462.75,High
197,Bridge,2023-01-18,493.077,High
198,Airport Road,2023-02-18,179.667,Normal
199,Bridge,2023-02-04,456.5,High
200,Downtown,2023-06-06,713.0,High
201,Main St,2023-06-16,562.0,High
202,Main St,2023-03-14,608.0,High
203,Highway 101,2023-01-25,462.714,High
204,Bridge,2023-04-03,604.0,High
205,Airport Road,2023-05-29,490.0,High
206,Bridge,2023-01-01,399.333,High
207,Airport Road,2023-02-19,299.333,Normal
208,Bridge,2023-02-19,189.667,Normal
209,Main St,2023-05-10,402.0,High
210,Bridge,2023-05-04,555.0,High
211,Bridge,2023-03-28,141.0,Normal
212,Airport Road,2023-02-08,445.5,High
213,Highway 101,2023-01-26,370.667,High
214,Downtown,2023-05-28,366.0,High
215,Downtown,2023-03-25,776.0,High
216,Downtown,2023-04-13,277.0,Normal
217,Highway 101,2023-03-11,243.0,Normal
218,Main St,2023-01-05,546.143,High
219,Downtown,2023-01-10,348.111,High
220,Highway 101,2023-01-15,421.636,High
221,Downtown,2023-05-07,281.0,Normal
222,Highway 101,2023-06-02,551.0,High
223,Main St,2023-04-20,150.5,Normal
224,Airport Road,2023-03-02,621.0,High
225,Airport Road,2023-01-11,310.333,High
226,Highway 101,2023-01-07,448.0,High
227,Airport Road,2023-01-19,582.25,High
228,Highway 101,2023-06-03,359.4,High
229,Highway 101,2023-04-12,358.75,High
230,Airport Road,2023-02-24,296.0,Normal
231,Downtown,2023-03-23,201.0,Normal
232,Highway 101,2023-04-10,154.0,Normal
233,Bridge,2023-03-22,432.0,High
234,Bridge,2023-05-29,268.5,Normal
235,Highway 101,2023-02-27,561.0,High
236,Highway 101,2023-04-21,200.0,Normal
237,Airport Road,2023-01-07,557.333,High
238,Downtown,2023-06-17,523.0,High
239,Airport Road,2023-05-21,208.5,Normal
240,Highway 101,2023-03-19,313.0,High
241,Highway 101,2023-06-08,266.0,Normal
242,Airport Road,2025-06-18,271.248,Normal
243,Highway 101,2023-03-21,596.0,High
244,Airport Road,2023-04-08,374.333,High
245,Main St,2023-03-28,324.667,High
246,Highway 101,2023-01-06,416.333,High
247,Downtown,2023-06-05,321.667,High
248,Downtown,2023-04-03,309.0,High
249,Main St,2023-05-03,57.0,Normal
250,Highway 101,2023-04-27,505.0,High
251,Downtown,2023-01-15,347.4,High
252,Main St,2023-04-14,213.0,Normal
253,Highway 101,2023-01-22,412.778,High
254,Highway 101,2023-05-09,356.0,High
255,Downtown,2023-05-03,529.0,High
256,Downtown,2023-03-21,319.667,High
257,Downtown,2023-06-23,587.0,High
258,Highway 101,2023-06-13,577.0,High
259,Highway 101,2023-06-14,480.0,High
260,Downtown,2023-05-19,700.5,High
261,Main St,2023-01-09,544.889,High
262,Highway 101,2023-06-04,428.0,High
263,Main St,2023-04-04,284.0,Normal
264,Bridge,2023-06-25,443.5,High
265,Highway 101,2023-02-16,321.5,High
266,Downtown,2023-02-17,193.0,Normal
267,Airport Road,2023-06-08,510.0,High
268,Airport Road,2023-04-14,528.0,High
269,Downtown,2023-06-15,568.0,High
270,Bridge,2023-02-24,500.0,High
271,Highway 101,2023-06-21,105.0,Normal
272,Airport Road,2023-02-23,469.0,High
273,Highway 101,2023-06-24,109.0,Normal
274,Main St,2023-05-07,782.0,High
275,Airport Road,2023-01-15,434.0,High
276,Highway 101,2023-03-16,693.0,High
277,Bridge,2023-02-12,157.0,Normal
278,Main St,2023-04-12,731.0,High
279,Bridge,2023-01-12,405.5,High
280,Bridge,2023-01-03,359.5,High
281,Bridge,2023-06-26,210.0,Normal
282,Main St,2023-03-03,597.0,High
283,Highway 101,2023-02-03,183.0,Normal
284,Highway 101,2023-05-03,461.0,High
285,Highway 101,2023-06-01,393.0,High
286,Highway 101,2023-03-31,456.0,High
287,Bridge,2023-04-27,257.0,Normal
288,Airport Road,2023-04-24,441.333,High
289,Airport Road,2023-06-28,252.0,Normal
290,Highway 101,2023-06-28,669.0,High
291,Downtown,2023-02-22,498.0,High
292,Main St,2023-01-08,496.333,High
293,Bridge,2023-06-30,154.0,Normal
294,Main St,2023-04-22,496.0,High
295,Airport Road,2023-06-13,529.0,High
296,Bridge,2023-05-27,777.0,High
297,Highway 101,2023-03-13,599.0,High
298,Highway 101,2023-01-18,420.125,High
299,Airport Road,2023-01-17,417.286,High
300,Bridge,2023-04-04,528.0,High
301,Bridge,2023-06-10,703.0,High
302,Bridge,2023-04-08,448.5,High
303,Main St,2023-06-17,536.0,High
304,Bridge,2023-03-14,785.0,High
305,Bridge,2023-05-24,377.0,High
306,Airport Road,2023-04-22,497.5,High
307,Bridge,2023-04-17,325.5,High
308,Downtown,2023-03-15,435.5,High
309,Airport Road,2023-03-09,358.0,High
310,Airport Road,2023-06-27,668.0,High
311,Downtown,2023-03-11,725.0,High
312,Airport Road,2023-01-21,557.444,High
313,Downtown,2023-06-16,670.5,High
314,Airport Road,2023-04-05,388.0,High
315,Downtown,2023-05-22,703.5,High
316,Downtown,2023-02-12,475.5,High
317,Bridge,2023-03-27,375.0,High
318,Highway 101,2023-01-10,442.0,High
319,Airport Road,2023-01-23,394.667,High
320,Highway 101,2023-04-13,497.0,High
321,Main St,2023-01-31,582.0,High
322,Airport Road,2023-01-01,285.444,Normal
323,Main St,2023-01-20,488.364,High
324,Bridge,2023-01-24,360.6,High
325,Bridge,2023-03-25,521.0,High
326,Airport Road,2023-06-11,574.5,High
327,University Blvd,2025-06-18,264.873,Normal
328,Highway 101,2023-01-29,413.333,High
329,Airport Road,2023-01-03,293.455,Normal
330,Main St,2023-03-20,686.0,High
331,Highway 101,2023-01-13,405.667,High
332,Main St,2023-05-05,117.0,Normal
333,Highway 101,2023-04-22,618.0,High
334,Downtown,2023-03-27,710.5,High
335,Highway 101,2023-03-26,552.0,High
336,Main St,2023-05-16,447.0,High
337,Downtown,2023-03-07,505.5,High
338,Main St,2023-02-27,550.0,High
339,Airport Road,2023-06-14,798.0,High
340,Airport Road,2023-03-16,373.75,High
341,Main St,2023-01-24,316.364,High
342,Highway 101,2023-05-19,165.0,Normal
343,Highway 101,2023-03-20,376.0,High
344,Main St,2023-05-15,638.0,High
345,Airport Road,2023-01-26,356.5,High
346,Bridge,2023-02-20,603.0,High
347,Downtown,2023-02-26,420.0,High
348,Bridge,2023-06-23,679.0,High
349,Downtown,2023-05-05,612.0,High
350,Main St,2023-02-18,624.0,High
351,Airport Road,2023-02-09,756.0,High
352,Airport Road,2023-02-11,485.0,High
353,Airport Road,2023-01-09,508.375,High
354,Main St,2023-04-26,500.333,High
355,Bridge,2023-05-10,521.0,High
356,Downtown,2023-01-21,418.2,High
357,Main St,2023-04-07,226.0,Normal
358,Airport Road,2023-04-15,656.0,High
359,Bridge,2023-03-12,633.0,High
360,Airport Road,2023-03-24,601.5,High
361,Main St,2023-03-12,630.0,High
362,Downtown,2023-01-06,448.5,High
363,Airport Road,2023-02-16,467.0,High
364,Airport Road,2023-03-30,709.0,High
365,Main St,2023-01-12,454.833,High
366,Downtown,2023-02-16,718.0,High
367,Airport Road,2023-05-07,516.5,High
368,Downtown,2023-04-17,654.0,High
369,Bridge,2023-05-31,466.0,High
370,Main St,2023-01-18,375.4,High
371,Highway 101,2023-01-17,389.0,High
372,Airport Road,2023-06-23,458.5,High
373,Downtown,2023-02-21,588.667,High
374,Airport Road,2023-02-25,439.0,High
375,Bridge,2023-03-11,439.0,High
376,Main St,2023-01-23,390.857,High
377,Bridge,2023-05-21,311.5,High
378,Highway 101,2023-04-04,525.0,High
379,Airport Road,2023-05-03,500.0,High
380,Bridge,2023-04-19,401.5,High
381,Bridge,2023-06-16,456.0,High
382,Main St,2023-01-17,505.222,High
383,Bridge,2023-03-31,445.0,High
384,Main St,2023-02-07,627.0,High
385,Airport Road,2023-01-22,493.833,High
386,Main St,2023-06-22,552.0,High
387,Downtown,2023-03-04,410.0,High
388,Downtown,2023-04-09,353.667,High
389,Downtown,2023-03-16,392.0,High
390,Downtown,2023-03-03,672.5,High
391,Highway 101,2023-02-26,147.0,Normal
392,Airport Road,2023-01-27,450.25,High
393,Highway 101,2023-01-01,434.143,High
394,Main St,2023-01-21,419.933,High
395,Downtown,2023-05-30,191.0,Normal
396,Highway 101,2023-01-14,545.0,High
397,Main St,2023-06-08,359.0,High
398,Highway 101,2025-06-17,430.0,High
399,Bridge,2023-01-20,400.222,High
400,Main St,2023-02-16,549.0,High
401,Downtown,2023-03-28,637.0,High
402,Main St,2023-01-16,442.417,High
403,Airport Road,2023-01-24,449.0,High
404,Main St,2023-03-06,402.0,High
405,Downtown,2023-01-30,477.375,High
406,Main St,2023-01-06,436.4,High
407,Main St,2023-01-04,465.5,High
408,Airport Road,2023-04-19,628.0,High
409,Downtown,2023-02-18,667.0,High
410,Bridge,2023-01-19,407.273,High
411,Downtown,2023-01-19,400.2,High
412,Highway 101,2023-04-20,245.0,Normal
413,Bridge,2023-05-28,678.0,High
414,Highway 101,2023-06-25,464.0,High
415,Bridge,2023-01-10,394.5,High
416,Main St,2023-01-28,468.5,High
417,Downtown,2023-04-12,451.0,High
418,Airport Road,2023-03-31,93.0,Normal
419,Main St,2023-06-23,357.0,High
420,Bridge,2023-05-17,715.667,High
421,Highway 101,2023-02-22,647.0,High
422,Highway 101,2023-02-24,613.0,High
423,Highway 101,2023-03-15,650.0,High
424,Bridge,2023-02-25,236.0,Normal
425,Downtown,2023-03-30,343.5,High
426,Bridge,2023-04-14,573.0,High
427,Main St,2023-04-23,220.0,Normal
428,Downtown,2023-02-15,346.0,High
429,Downtown,2023-05-11,569.0,High
430,Airport Road,2023-05-13,303.0,High
431,Downtown,2023-03-20,342.0,High
432,Airport Road,2023-01-13,305.286,High
433,Main St,2023-02-25,310.25,High
434,Airport Road,2023-05-09,61.0,Normal
435,Highway 101,2023-04-17,435.5,High
436,Airport Road,2023-02-17,280.0,Normal
437,Highway 101,2023-01-28,480.286,High
438,Bridge,2023-03-21,641.5,High
439,Highway 101,2023-03-17,487.0,High
440,Downtown,2023-01-16,315.143,High
441,Main St,2023-02-28,172.0,Normal
442,Bridge,2023-05-15,75.0,Normal
443,Airport Road,2023-01-10,487.286,High
444,Downtown,2023-06-21,754.5,High
445,Main St,2023-01-22,471.091,High
446,Highway 101,2023-05-10,213.5,Normal
447,Highway 101,2023-06-10,160.0,Normal
448,Airport Road,2023-05-04,188.0,Normal
449,Airport Road,2023-03-28,163.0,Normal
450,Bridge,2023-03-30,547.0,High
451,Bridge,2023-03-26,220.0,Normal
452,Airport Road,2023-02-28,434.0,High
453,Downtown,2023-01-09,586.143,High
454,Airport Road,2023-05-24,444.333,High
455,Highway 101,2023-02-05,617.0,High
456,Airport Road,2023-05-15,272.0,Normal
457,Bridge,2023-03-19,684.0,High
458,Main St,2023-04-09,670.0,High
459,Main St,2023-04-30,619.5,High
460,Downtown,2023-05-06,476.0,High
461,Downtown,2023-03-22,643.0,High
462,Bridge,2023-01-29,492.667,High
463,Main St,2023-05-30,407.333,High
464,Downtown,2023-05-24,529.0,High
465,Main St,2023-01-25,320.5,High
466,Highway 101,2023-06-30,465.5,High
467,Downtown,2023-06-09,92.0,Normal
468,Highway 101,2023-01-16,390.4,High
469,Bridge,2023-03-17,354.333,High
470,Highway 101,2023-04-14,693.0,High
471,Bridge,2023-05-14,170.0,Normal
472,Airport Road,2023-04-11,405.0,High
473,Main St,2023-02-05,420.333,High
474,Highway 101,2023-04-05,608.667,High
475,Main St,2023-03-27,400.0,High
476,Downtown,2023-01-03,468.6,High
477,Bridge,2023-01-17,491.429,High
478,Main St,2023-06-30,580.0,High
479,Highway 101,2023-03-06,344.0,High
480,Airport Road,2023-05-10,210.5,Normal
481,Downtown,2023-05-02,98.0,Normal
482,Airport Road,2023-04-29,511.0,High
483,Downtown,2023-01-18,279.667,Normal
484,Highway 101,2023-03-03,445.0,High
485,Main St,2023-05-28,656.5,High
486,Highway 101,2023-06-17,768.0,High
487,Main St,2023-04-19,462.5,High
488,Airport Road,2023-02-10,484.0,High
489,Downtown,2023-04-05,570.0,High
490,Airport Road,2023-05-11,235.0,Normal
491,Main St,2023-05-09,333.5,High
492,Main St,2023-01-19,462.833,High
493,Main St,2023-01-11,480.667,High
494,Downtown,2023-01-08,378.0,High
495,Bridge,2023-06-04,506.333,High
496,Airport Road,2023-05-27,735.0,High
497,Bridge,2023-04-09,590.5,High
498,Airport Road,2023-02-26,319.0,High
499,Highway 101,2023-04-09,214.5,Normal
500,Highway 101,2023-04-11,303.0,High
501,Bridge,2023-02-07,215.0,Normal
502,Airport Road,2023-02-04,730.0,High
503,Bridge,2023-05-19,540.333,High
504,Main St,2023-06-27,592.0,High
505,Highway 101,2023-01-23,380.333,High
506,Highway 101,2023-05-11,654.5,High
507,Main St,2023-06-04,786.0,High
508,Main St,2023-04-08,361.0,High
509,Downtown,2023-04-26,256.0,Normal
510,Airport Road,2023-05-16,444.0,High
511,Main St,2023-01-15,455.0,High
512,Airport Road,2023-01-12,436.818,High
513,Downtown,2023-03-19,379.0,High
514,Bridge,2023-02-06,249.5,Normal
515,Highway 101,2023-01-08,507.143,High
516,Airport Road,2023-02-01,139.0,Normal
517,Downtown,2023-04-15,316.0,High
518,Main St,2023-01-13,474.333,High
519,Bridge,2023-05-08,459.5,High
520,Downtown,2023-05-26,454.0,High
521,Airport Road,2023-05-20,380.0,High
522,Downtown,2023-01-29,467.25,High
523,Main St,2023-05-25,689.0,High
524,Downtown,2023-01-31,366.5,High
525,Downtown,2023-04-01,429.0,High
526,Airport Road,2023-03-14,519.5,High
527,Bridge,2023-03-16,238.5,Normal
528,Downtown,2023-01-26,428.667,High
529,Main St,2023-04-01,333.0,High
530,Downtown,2023-03-29,433.75,High
531,Main St,2023-02-22,316.333,High
532,Bridge,2023-01-11,462.364,High
533,Bridge,2023-01-28,381.8,High
534,Downtown,2023-01-20,225.0,Normal
535,Main St,2023-03-25,772.0,High
536,Airport Road,2023-04-21,340.0,High
537,Airport Road,2023-06-22,629.0,High
538,Downtown,2023-02-02,628.0,High
539,Airport Road,2023-05-12,733.0,High
540,Highway 101,2023-03-12,415.5,High
541,Airport Road,2023-04-23,243.0,Normal
542,Airport Road,2023-01-08,255.333,Normal
543,Main St,2023-06-10,124.0,Normal
544,Main St,2023-02-20,416.0,High
545,Main St,2023-03-08,125.0,Normal
546,Bridge,2023-01-31,186.0,Normal
547,Highway 101,2023-03-14,70.0,Normal
548,Bridge,2023-04-18,738.0,High
549,Airport Road,2023-06-01,328.0,High
550,Highway 101,2023-02-20,202.0,Normal
551,Airport Road,2023-01-29,425.0,High
552,Bridge,2023-01-16,412.5,High
553,Airport Road,2023-01-28,376.75,High
554,Airport Road,2023-02-12,477.0,High
555,Airport Road,2023-04-06,603.0,High
556,Highway 101,2023-03-07,371.0,High
557,Bridge,2023-06-29,726.0,High
558,Airport Road,2023-01-04,502.0,High
559,Bridge,2023-05-23,229.0,Normal
560,Downtown,2023-06-07,285.5,Normal
561,Main St,2023-04-13,324.0,High
562,Airport Road,2023-01-20,390.889,High
563,Highway 101,2023-01-05,285.25,Normal
564,Highway 101,2023-03-02,290.0,Normal
565,Bridge,2023-02-01,109.0,Normal
566,Airport Road,2023-02-03,366.0,High
567,Bridge,2023-06-08,523.0,High
568,Bridge,2023-04-23,235.5,Normal
569,Highway 101,2023-05-25,275.0,Normal
570,Main St,2023-01-03,398.875,High
571,Downtown,2023-01-14,383.429,High
572,Main St,2023-06-14,492.75,High
573,Highway 101,2023-06-07,561.5,High
574,Downtown,2023-06-30,242.5,Normal
575,Main St,2023-02-04,271.5,Normal
576,Airport Road,2023-06-20,403.0,High
577,Airport Road,2023-01-14,360.429,High
578,Bridge,2023-06-06,630.5,High
579,Highway 101,2023-05-22,790.0,High
580,Downtown,2023-02-14,309.0,High
581,Highway 101,2023-01-12,407.444,High
582,Downtown,2023-01-17,592.5,High
583,Bridge,2023-06-07,499.0,High
584,Main St,2023-06-02,601.0,High
585,Downtown,2023-06-03,680.0,High
586,Main St,2023-01-07,79.0,Normal
587,Bridge,2023-04-22,441.5,High
588,Downtown,2023-06-14,204.0,Normal
589,Highway 101,2023-03-04,474.5,High
590,Highway 101,2023-04-06,421.333,High
591,Airport Road,2023-03-03,74.0,Normal
592,Downtown,2023-03-06,645.0,High
593,Bridge,2023-01-05,384.9,High
594,Airport Road,2023-04-04,500.5,High
595,Bridge,2023-06-19,313.5,High
596,Downtown,2023-05-31,626.0,High
597,Highway 101,2023-03-01,540.0,High
598,Main St,2023-02-02,268.0,Normal
599,Highway 101,2023-01-03,506.833,High
600,Bridge,2023-01-26,533.625,High
601,Airport Road,2023-03-01,495.5,High
602,Airport Road,2023-04-10,589.0,High
603,Highway 101,2025-06-18,276.932,Normal
604,Highway 101,2023-02-11,415.5,High
605,Highway 101,2023-05-14,437.25,High
606,Downtown,2023-06-28,319.5,High
607,Airport Road,2023-02-21,258.333,Normal
608,Airport Road,2023-06-06,518.75,High
609,Downtown,2023-01-04,339.333,High
610,Airport Road,2023-03-21,360.333,High
611,Downtown,2023-02-06,108.0,Normal
612,Airport Road,2023-01-16,348.5,High
613,Downtown,2023-01-23,465.714,High
614,Bridge,2023-01-21,385.0,High
615,Bridge,2023-05-07,491.5,High
616,Bridge,2023-03-04,744.0,High
617,Downtown,2023-04-19,222.0,Normal
618,Downtown,2023-03-09,500.0,High
619,Highway 101,2023-03-27,446.0,High
620,Bridge,2023-06-02,218.0,Normal
621,Downtown,2023-03-24,291.0,Normal
622,Airport Road,2023-05-25,625.5,High
623,Bridge,2023-03-03,746.0,High
624,Main St,2023-06-03,703.0,High
625,Highway 101,2023-02-15,389.0,High
626,Highway 101,2023-04-29,730.0,High
627,Highway 101,2023-04-01,196.0,Normal
628,Bridge,2023-06-03,452.333,High
629,Airport Road,2023-05-26,717.0,High
630,Bridge,2023-05-26,165.0,Normal
631,Main St,2023-03-31,681.0,High
632,Bridge,2023-01-15,204.0,Normal
633,Main St,2023-05-02,351.0,High
634,Downtown,2023-03-18,389.0,High
635,Highway 101,2023-05-07,293.0,Normal
636,Downtown,2023-01-13,429.75,High
637,Main St,2023-05-01,512.0,High
638,Airport Road,2023-03-05,212.0,Normal
639,Downtown,2023-06-18,400.333,High
640,Airport Road,2023-03-23,769.0,High
641,Bridge,2023-06-22,199.0,Normal
642,Highway 101,2023-05-01,474.0,High
643,Downtown,2023-04-21,254.0,Normal
644,Main St,2023-06-29,273.0,Normal
645,Downtown,2023-03-26,441.0,High
646,Main St,2023-06-09,179.0,Normal
647,Highway 101,2023-02-01,462.667,High
648,Downtown,2023-04-02,234.5,Normal
649,Airport Road,2023-06-15,258.0,Normal
650,Bridge,2023-03-09,403.0,High
651,Highway 101,2023-06-11,178.667,Normal
652,Main St,2023-04-21,690.5,High
653,Main St,2023-05-23,353.0,High
654,Main St,2023-01-27,418.429,High
655,Bridge,2023-04-11,430.5,High
656,Highway 101,2023-06-05,415.5,High
657,Downtown,2023-02-01,66.0,Normal
658,Airport Road,2023-05-05,461.0,High
659,Highway 101,2023-01-09,561.143,High
660,Airport Road,2023-05-22,468.333,High
661,Bridge,2023-05-22,348.0,High
662,Highway 101,2023-02-23,469.5,High
663,Airport Road,2023-04-25,485.667,High
664,Airport Road,2023-06-02,767.0,High
665,Highway 101,2023-03-22,573.333,High
666,Main St,2023-05-12,506.5,High
667,Bridge,2023-05-25,347.0,High
668,Bridge,2023-05-13,67.0,Normal
669,Downtown,2023-02-10,302.0,High
670,Downtown,2025-06-18,266.944,Normal
671,Highway 101,2023-01-02,370.833,High
672,Downtown,2023-06-24,290.5,Normal
673,Bridge,2023-04-05,475.0,High
674,Bridge,2023-06-27,224.667,Normal
675,Downtown,2023-04-18,202.0,Normal
